,date of Polar Low Occurance,Aqua or Terra?,"How confident are you that this is actually a polar low [1 for low, 2 for high, 0 for definitely not a polar low]",latitude of box top,longitude of box right side,latitude of box bottom,longitude of box left side,file name of PNG
Patel,8/8/2018,Aqua,2,-57.141,-105.3919,-65.939,-114.1899,180808_DP2.png
Patel,8/9/2018,Aqua,1,-56.7218,-69.9701,-65.5209,-78.7692,180809_DP1.png
Patel,8/9/2018,Terra,2,-55.6263,-107.8272,-64.4477,-116.6486,180809_DP2.png
Patel,8/9/2018,Terra,2,-53.6556,129.2942,-62.4769,120.4728,180809_DP3.png
Patel,8/10/2018,Aqua,1,-56.1678,-100.8938,-64.9714,-109.6974,180810_DP1.png
Patel,8/10/2018,Terra,2,-51.1921,88.8238,-60.0135,80.0024,180810_DP2.png
Senjalia,8/11/2018,Aqua,1,52.4824,-131.6799,43.092,-122.7539,180811_AS1.png
Senjalia,8/11/2018,Terra,2,-42.2413,3.2908,-50.5467,14.1066,180811_AS2.png
Senjalia,8/12/2018,Aqua,1,-45.0835,107.5924,-53.8703,98.8055,180812_AS1.png
Senjalia,8/12/2018,Aqua,2,-43.9523,-43.45,-52.7449,-52.2426,180812_AS2.png
Senjalia,8/12/2018,Terra,1,79.761,-10.3003,70.9678,-19.0936,180812_AS3.png
Senjalia,8/14/2018,Aqua,2,-40.3797,-158.3485,-49.1655,-167.1343,180814_AS1.png
Senjalia,8/14/2018,Aqua,2,-54.283,-99.1868,-63.0741,-107.9779,180814_AS2.png
Senjalia,8/14/2018,Terra,2,-44.4005,28.8472,-53.1897,20.058,180814_AS3.png
Senjalia,8/15/2018,Terra,1,-46.8577,149.1941,-55.6445,140.4073,180815_AS1.png
Senjalia,8/15/2018,Terra,2,-40.908,-158.2591,-49.6962,-167.0473,180815_AS2.png
Senjalia,8/16/2018,Terra,1,56.1511,-138.1776,47.3583,-146.9704,180816_AS1.png
Senjalia,8/17/2018,Terra,2,60.8449,-136.9732,52.0586,-145.7595,180817_AS1.png
Friedman,8/22/2018,Aqua,1,-44.2739,174.7673,-53.0611,165.9801,180822_AF1.png
Friedman,8/22/2018,Aqua,1,-43.8859,-162.4185,-52.6688,-171.2014,180822_AF2.png
Friedman,8/23/2018,Terra,2,-54.1125,33.7384,-62.8997,24.9513,180823_AF1.png
Friedman,8/26/2018,Aqua,2,-53.6529,103.6372,-62.4572,94.8622,180826_AF1.png
Friedman,8/26/2018,Aqua,1,-40.6037,-133.2093,-49.3985,-142.0041,180826_AF2.png
Friedman,8/27/2018,Aqua,1,-53.8779,-72.5382,-62.6529,-81.3426,180827_AF1.png
Friedman,8/28/2018,Aqua,2,-52.3833,24.9136,-61.1613,16.1356,180828_AF2.png
Friedman,8/29/2018,Aqua,1,-47.5297,-133.4758,-56.3245,-142.2706,180829_AF1.png
Friedman,8/30/2018,Terra,2,-46.2461,-114.5975,-55.029,-123.3805,180830_AF1.png
Brydon,9/1/2018,Aqua,2,-53.5055,-71.629,-62.292,-80.4155,180901_MB1.png
Brydon,9/1/2018,Terra,2,-53.1572,-89.5054,-61.9437,-98.2919,180901_MB2.png
Brydon,9/1/2018,Terra,1,-57.1098,-106.6882,-65.889,-115.4674,180901_MB3.png
Brydon,9/1/2018,Terra,1,53.5701,156.7157,44.778,147.9236,180901_MB4.png
Brydon,9/2/2018,Aqua,2,59.7909,-134.7947,50.9988,-143.5868,180902_MB1.png
Brydon,9/2/2018,Aqua,2,-42.4227,-105.711,-51.2019,-114.4902,180902_MB3.png
Brydon,9/2/2018,Terra,2,-56.0726,-177.9289,-64.8517,173.2919,180902_MB5.png
Brydon,9/2/2018,Aqua,2,74.185,18.3132,72.8546,-28.9857,180902_MB7.png
Urena,9/9/2018,Terra,2,55.1063,-129.8861,46.3247,-138.6678,180909_EU1.png
Urena,9/10/2018,Aqua,1,61.8169,136.4034,54.8223,156.0876,180910_EU2.png
Urena,9/10/2018,Aqua,1,63.7998,-26.0508,55.0107,-34.8398,180910_EU3.png
Urena,9/11/2018,Terra,2,-52.5674,118.8193,-61.3564,110.0303,180911_EU4.png
Urena,9/15/2018,Aqua,1,66.4277,-22.3242,57.6035,-31.1133,180915_EU5.png
Urena,9/16/2018,Terra,1,-45.2285,-129.4805,-54.0176,-138.2695,180916_EU6.png
Patta,9/17/2018,Aqua,2,53.2463,-8.374,44.4684,-17.1519,180917_AP1.png
Urena,9/17/2018,Terra,1,61.3916,150.2754,52.6025,141.4863,180917_EU7.png
Urena,9/18/2018,Terra,1,72.7552,7.0215,63.972,-1.7618,180918_EU8.png
Patta,9/19/2018,Aqua,2,57.4787,155.0281,48.603,146.2058,180919_AP1.png
Urena,9/19/2018,Aqua,1,-54.4671,115.2572,-56.2779,136.4497,180919_EU10.png
Urena,9/19/2018,Terra,1,61.6316,4.2252,59.727,-21.2652,180919_EU11.png
Urena,9/19/2018,Terra,2,61.4889,3.3727,59.1857,-22.0703,180919_EU9.png
Patta,9/20/2018,Terra,2,57.9253,154.892,49.1487,146.1154,180920_AP1.png
Patta,9/20/2018,Terra,2,57.2149,154.6695,47.4304,145.885,180920_AP2.png
Patta,9/20/2018,Terra,2,-49.912,143.9435,-58.6886,135.1669,180920_AP3.png
Urena,9/20/2018,Aqua,1,76.7725,122.168,67.9834,113.3789,180920_EU12.png
Urena,9/20/2018,Aqua,2,58.0486,155.542,49.2557,163.1496,180920_EU13.png
Patta,9/21/2018,Terra,2,64.3036,-168.8945,55.5018,-177.6963,180921_AP1.png
Patta,9/21/2018,Terra,2,58.6671,155.3067,49.8817,146.5213,180921_AP2.png
Patta,9/22/2018,Terra,2,64.7228,-169.8768,55.9205,-178.6791,180922_AP1.png
Patta,9/22/2018,Terra,2,63.9925,-162.2901,55.1838,-171.0683,180922_AP2.png
Patta,9/23/2018,Terra,2,65.4219,-162.7335,56.614,-170.4677,180923_AP1.png
Patta,9/23/2018,Terra,2,64.9176,-47.6313,56.128,-56.4209,180923_AP2.png
Patta,9/23/2018,Terra,2,-48.3473,-47.9237,-57.1569,-56.7334,180923_AP3.png
Lavenhouse,9/24/2018,Terra,2,63.0583,-44.6717,54.1108,-53.5209,180924_TL1.png
Lavenhouse,9/24/2018,Aqua,2,-42.6376,-82.3411,-51.4729,-91.2096,180924_TL2.png
Lavenhouse,9/26/2018,Terra,2,76.2489,-59.6286,67.3677,-68.5098,180926_TL1.png
Lavenhouse,9/27/2018,Terra,1,-42.4297,55.1714,-51.2346,46.2819,180927_TL1.png
Lavenhouse,9/29/2018,Terra,2,-45.3714,-1.3418,-54.1983,-10.1688,180929_TL2.png
Lavenhouse,9/30/2018,Terra,1,63.8129,-47.0461,55.0036,-55.879,180930_TL1.png
Lavenhouse,9/30/2018,Terra,2,76.5354,66.8183,67.6857,57.9686,180930_TL2.png
Lavenhouse,9/30/2018,Aqua,1,-46.8415,-132.248,-55.7007,-141.049,180930_TL3.png
Badalov,10/1/2018,Terra,1,-55.7051,138.2344,-64.4941,129.4453,181001_MB1.png
Badalov,10/1/2018,Aqua,2,54.3516,-161.332,45.5625,-170.1211,181001_MB6.png
Badalov,10/2/2018,Aqua,1,-55.8281,-179.1914,-64.6172,172.0195,181002_MB7.png
Badalov,10/3/2018,Terra,2,59.9941,-169.1191,51.2051,-177.9081,181003_MB2.png
Badalov,10/04/2018,Aqua,1,-48.0586,-33.4688,-56.8477,-42.2578,181004_MB10.png
Badalov,10/4/2018,Terra,1,-42.0469,-49.1133,-50.8359,-57.9023,181004_MB11.png
Badalov,10/4/2018,Aqua,1,66.4102,-170.2969,57.6211,-179.0859,181004_MB9.png
Badalov,10/5/2018,Aqua,1,65.9531,-169.1367,57.1641,-177.9258,181005_MB3.png
Badalov,10/6/2018,Aqua,1,62.7891,177.6709,54,168.8818,181006_MB4.png
Badalov,10/7/2018,Aqua,1,67.043,-31.5352,58.2539,-40.3242,181007_MB12.png
Badalov,10/7/2018,Aqua,2,-49.1484,-85.4297,-57.9375,-94.2188,181007_MB5.png
Smith,10/9/2018,Aqua,2,-51.5222,161.1013,-60.2957,152.3277,181009_JS1.png
Smith,10/9/2018,Terra,2,59.8787,-178.9193,51.0833,172.2853,181009_JS2.png
Smith,10/10/2018,Aqua,1,-55.2817,95.3561,-64.0742,86.5637,181010_JS1.png
Smith,10/10/2018,Aqua,1,-55.2833,-132.4946,-64.0733,-141.2847,181010_JS2.png
Smith,10/11/2018,Aqua,2,59.4537,178.2114,50.3322,169.419,181011_JS1.png
Smith,10/12/2018,Aqua,2,62.7127,-8.6799,53.9258,-17.4669,181012_JS1.png
Smith,10/12/2018,Aqua,2,65.8193,-31.5875,57.0251,-40.3817,181012_JS2.png
Smith,10/13/2018,Aqua,1,-42.9642,-163.5004,-51.7439,-172.28,181013_JS1.png
Joshi,10/14/2018,Terra,2,55.45,-161.53,46.64,-170.34,181014_RJ1.png
Marchesi,10/15/2018,Aqua,1,-60.9961,8.9728,-69.7806,0.1882,181015_RM1.png
Joshi,10/16/2018,Terra,2,-43.6,-16.9,-52.39,-25.71,181016_RJ1.png
Joshi,10/16/2018,Terra,2,-51.1,-58.69,-59.9,-67.48,181016_RJ2.png
Joshi,10/17/2018,Terra,2,60.39,-41.25,51.6,-50.04,181017_RJ1.png
Joshi,10/17/2018,Terra,1,71.42,-52.8,62.62,-61.6,181017_RJ2.png
Joshi,10/18/2018,Terra,2,57.62,154.46,48.82,145.65,181018_RJ1.png
Joshi,10/18/2018,Terra,2,-49.4,-153.51,-58.21,-162.31,181018_RJ2.png
Joshi,10/18/2018,Terra,2,-47.42,-138.02,-56.23,-146.83,181018_RJ3.png
Joshi,10/19/2018,Terra,2,-46.37,-16.3,-55.18,-25.1,181019_RJ1.png
Joshi,10/19/2018,Terra,1,-47.39,-103.83,-56.19,-112.64,181019_RJ2.png
Joshi,10/20/2018,Terra,2,-43.97,149.64,-52.78,140.83,181020_RJ1.png
Joshi,10/21/2018,Terra,2,76.7,8.19,67.9,-0.61,181021_RJ1.png
Joshi,10/21/2018,Terra,2,-42.42,-135.62,-51.22,-144.43,181021_RJ2.png
Larcome,10/22/2018,Aqua,2,-40.3242,161.833,-49.1133,153.0439,181022_JL1.png
Larcome,10/22/2018,Aqua,2,-44.5173,132.8167,-53.3045,124.0295,181022_JL2.png
Larcome,10/22/2018,Terra,1,-42.5391,-135.6504,-51.3281,-144.4746,181022_JL3.png
Larcome,10/23/2018,Terra,1,-44.4375,141.9258,-53.2266,133.1367,181023_JL1.png
Larcome,10/24/2018,Aqua,1,-54.849,-122.7231,-63.6493,-131.5235,181024_JL1.png
Larcome,10/25/2018,Aqua,2,-51.7676,-150.7148,-60.5566,-159.5039,181025_JL1.png
Larcome,10/25/2018,Terra,2,-53.7613,-126.1536,-62.5497,-134.9421,181025_JL2.png
Larcome,10/25/2018,Terra,2,-53.5605,-7.0313,-62.3496,-15.8203,181025_JL3.png
Larcome,10/26/2018,Aqua,2,-50.1517,-151.1938,-61.6569,-158.587,181026_JL1.png
Larcome,10/26/2018,Aqua,2,-52.2713,-162.2901,-62.5836,-174.9281,181026_JL2.png
Larcome,10/26/2018,Aqua,1,-57.206,-108.364,-67.6997,-93.0153,181026_JL3.png
Larcome,10/27/2018,Aqua,1,-53.8242,-84.3398,-62.6133,-93.1289,181027_JL1.png
Larcome,10/27/2018,Aqua,2,-43.6113,-9.1582,-52.4004,-17.9473,181027_JL2.png
Larcome,10/27/2018,Aqua,1,67.3117,-52.4934,56.4033,-66.1174,181027_JL3.png
Larcome,10/28/2018,Terra,2,-48.4453,108.0879,-57.2344,99.2988,181028_JL1.png
Larcome,10/29/2018,Aqua,2,-54.3867,96.6533,-63.1758,87.8643,181029_JL1.png
Larcome,10/29/2018,Aqua,1,-51.8808,102.6124,-60.6719,93.8213,181029_JL2.png
Badalov,10/31/2018,Terra,2,-55.7578,146.2852,-64.569,137.4961,181031_MB8.png
Panickar,12/27/2018,Terra,1,52.7386,151.5918,43.9297,142.7829,181227_RP1.png
Lucas Smith,3/30/2019,Terra,2,-43.1016,98.5313,-51.8906,89.7422,190330_NLS1.png
Lucas Smith,3/30/2019,Terra,2,-52.2656,31.7578,-61.0547,22.9687,190330_NLS2.png
Singh,4/1/2019,Aqua,2,65.9135,-17.926,57.1181,-26.7213,190401_RS1.png
Singh,4/1/2019,Aqua,1,49.1869,163.3944,40.3915,154.5991,190401_RS2.png
Singh,4/4/2019,Terra,1,51.1172,-135.3067,42.3298,-144.0941,190404_RS1.png
Singh,4/4/2019,Aqua,1,51.7676,-169.1455,42.9785,-177.9346,190404_RS2.png
Singh,4/5/2019,Terra,2,55.1865,-131.4756,46.3795,-140.2646,190405_RS1.png
Singh,4/5/2019,Terra,1,52.2334,-10.0371,43.4443,-18.8262,190405_RS2.png
Singh,4/7/2019,Aqua,2,53.1387,-22.3418,44.3496,-31.1309,190407_RS1.png
Schneider,4/8/2019,Terra,1,49.6621,-11.2446,40.8615,-20.0452,190408_ES1.png
Singh,4/8/2019,Terra,1,50.1504,174.8848,41.3613,166.0957,190408_RS1.png
Schneider,4/9/2019,Terra,2,57.1887,-33.2834,47.9291,-42.0692,190409_ES2.png
Schneider,4/9/2019,Terra,2,59.4206,-143.6199,50.6456,-152.398,190409_ES4.png
Schneider,4/10/2019,Terra,2,53.8786,175.9095,45.0921,167.1229,190410_ES5.png
Schneider,4/10/2019,Aqua,1,59.22,-142.5578,50.4203,-151.3575,190410_ES6.png
Schneider,4/12/2019,Terra,1,62.679,-143.3409,53.8867,-152.1332,190412_ES1.png
Schneider,4/12/2019,Aqua,1,-52.2671,106.485,-61.0593,97.6927,190412_ES2.png
Schneider,4/12/2019,Aqua,2,-56.3329,14.9988,-65.1252,6.2066,190412_ES3.png
Schneider,4/14/2019,Aqua,2,-61.6429,23.099,-70.4172,14.3047,190414_ES1.png
Lucas Smith,4/15/2019,Terra,2,49.2539,-33.457,40.4648,-42.2461,190415_NLS1.png
Lucas Smith,4/15/2019,Terra,2,-42.3984,120.6094,-51.1875,111.8203,190415_NLS2.png
Lucas Smith,4/16/2019,Terra,2,-47.7656,78.293,-56.5547,69.5039,190416_NLS1.png
Lucas Smith,4/17/2019,Terra,2,-65.625,-138.9727,-74.4141,-147.7617,190417_NLS1.png
Lucas Smith,4/17/2019,Terra,2,57.0234,-138.8086,48.2344,-147.5977,190417_NLS2.png
Lucas Smith,4/18/2019,Terra,2,-50.3438,51.7148,-59.1328,42.9258,190418_NLS1.png
Lucas Smith,4/19/2019,Terra,2,-53.0156,-34.1016,-61.8047,-42.8906,190419_NLS1.png
Lucas Smith,4/19/2019,Aqua,2,-43.418,161.2617,-52.207,152.4727,190419_NLS2.png
Lucas Smith,4/20/2019,Aqua,2,-42.3867,133.0547,-51.1758,124.2656,190420_NLS1.png
Lucas Smith,4/21/2019,Terra,2,-62.3516,-149.0039,-72.1406,-157.793,190421_NLS1.png
Lin,4/24/2019,Terra,1,-40.2539,-41.0625,-49.0429,-49.8515,190424_VL1.png
Lin,4/24/2019,Terra,1,-61.3828,-90.3516,-70.1719,-99.1406,190424_VL2.png
Lin,4/24/2019,Terra,2,60.4336,-151.1016,51.6445,-159.8906,190424_VL3.png
Lin,4/24/2019,Terra,2,55.3359,-16.1719,46.5469,-24.9609,190424_VL4.png
Lin,4/25/2019,Terra,1,-45.457,136.6875,-54.2461,127.8984,190425_VL1.png
Lin,4/25/2019,Terra,1,-42.3984,87.3281,-51.1875,78.5391,190425_VL2.png
Lin,4/25/2019,Terra,2,-59.4141,-142.5234,-68.2031,-151.3125,190425_VL3.png
Lin,4/25/2019,Terra,1,60.3984,-143.0156,51.6094,-151.8047,190425_VL4.png
Lin,4/25/2019,Terra,1,65.1797,-34.4531,56.3906,-43.2422,190425_VL5.png
Lin,4/26/2019,Terra,1,60.1523,-136.0547,51.3633,-144.8438,190426_VL1.png
Lin,4/26/2019,Terra,1,60.9609,217.125,52.1719,208.3359,190426_VL2.png
Lin,4/26/2019,Terra,2,-60.3281,-138.3047,-69.1172,-147.0938,190426_VL3.png
Lin,4/27/2019,Terra,2,60.3281,223.5938,51.5391,214.8047,190427_VL1.png
Lin,4/27/2019,Terra,1,-60.3281,221.8359,-69.1172,213.0469,190427_VL2.png
Lin,4/28/2019,Terra,1,-43.3125,-7.3828,-52.1016,-16.1719,190428_VL1.png
Lin,4/29/2019,Terra,2,65.3906,-28.9688,56.6016,-37.7578,190429_VL1.png
Lin,4/30/2019,Terra,2,-51.1172,-204.8203,-59.9063,-213.6094,190430_VL1.png
Lin,4/30/2019,Terra,1,56.7422,-9.2813,47.9531,-18.0703,190430_VL3.png
Moore,7/9/2019,Aqua,2,-53.021,140.916,-61.816,132.121,190709_RM1.png
Moore,7/9/2019,Terra,2,-45.7865,141.4466,-54.584,132.6668,190709_RM2.png
Moore,7/10/2019,Terra,1,-41.8008,169.1631,-50.5898,160.374,190710_RM1.png
Moore,7/11/2019,Terra,1,-48.7234,-149.024,-57.5067,-157.8331,190711_RM1.png
Moore,7/12/2019,Aqua,2,-49.1159,-96.773,-57.9204,-105.5773,190712_RM1.png
Moore,7/14/2019,Terra,2,-50.3033,-116.3234,-59.0932,-125.1133,190714_RM1.png
Moore,7/14/2019,Terra,1,-53.9894,-81.1795,-62.7965,-89.9866,190714_RM2.png
Moore,7/14/2019,Terra,2,-52.5302,-65.6497,-61.3374,-74.5969,190714_RM3.png
Moore,7/15/2019,Terrra,2,-47.5844,-75.7263,-56.3932,-84.535,190715_RM1.png
Moore,7/15/2019,Terra,2,-47.2363,81.472,-56.029,72.6944,190715_RM2.png
Moore,7/15/2019,Aqua,1,-51.4559,8.9885,-60.2201,0.1944,190715_RM3.png
Marchesi,7/25/2018,Aqua,2,-46.7032,-12.3654,-55.4872,-21.1495,250718_RM2.png
Marchesi,7/25/2018,Aqua,2,-45.6141,79.0543,-54.4044,70.2641,250718_RM3.png
Marchesi,7/28/2018,Aqua,1,-42.5595,5.0102,-51.3467,-3.777,280718_RM1.png
Herrera,6/30/2018,aqua,2,-47.0275,80.7299,-55.8177,71.9397,180630_JH1.png
Singh,04/01/2019,Terra,1,65.8557,-18.2988,57.0696,-27.0849,190401_RS1.png
Olken-Hunt,7/15/2019,Aqua,2,-49.3514,-116.1654,-58.1396,-124.9536,190715_PO1.png
Olken-Hunt,7/15/2019,Aqua,1,-48.3226,-72.7892,-57.8317,-83.0547,190715_PO2.png
Olken-Hunt,07/16/2019,Aqua,1,-41.8402,-14.1576,-50.6402,-22.9576,190716_PO1.png
Olken-Hunt,07/17/2019,Aqua,2,-54.3379,-75.6643,-63.1206,-84.4865,190717_PO1.png
Olken-Hunt,07/20/2019,Terra,2,-40.1202,-78.614,-48.9929,-87.4263,190720_PO1.png
Kannan,08/03/19,Terra,2,-43.716,-151.4474,-52.5415,-160.2749,190803_SK1.png
Kannan,08/03/19,Terra,0,52.8292,-162.4569,43.0447,-171.2415,190803_SK3.png
Kannan,08/04/19,Terra,2,58.6866,-11.9452,49.8084,-20.777,190804_SK3.png
Kannan,08/04/19,Aqua,1,-49.6095,-25.7254,-58.407,-34.5229,190804_SK2.png
Kannan,08/06/19,Aqua,2,-51.7502,119.4088,-60.5399,180.619,190806_SK1.png
Ko,08/07/2019,Aqua,2,-44.2811,154.8557,-53.0676,146.0691,190807_JK1.png
Ko,08/07/2019,Aqua,1,48.8619,-22.1697,40.0783,-30.9687,190807_JK2.png
Ko,08/07/2019,Terra,1,-50.9358,-51.2393,-59.7869,-60.024,190807_JK4.png
Ko,08/08/2019,Terra,2,50.2516,-15.4465,41.3565,-24.2408,190808_JK5.png
Ko,08/09/2019,Aqua,1,54.6825,167.8096,45.9224,158.4722,190809_JK8.png
Ko,08/09/2019,Aqua,0,69.1561,-111.3499,60.2728,-120.1405,190809_JK10.png
Perez,08/17/19,Terra,2,-43.6475,-133.4197,-52.4613,-142.2752,190817_DP2.png
Perez,08/19/2019,Terra,1,-43.1007,65.3881,-51.9144,56.5325,190819_DP1.png
Perez,08/19/2019,Terra,0,-55.7195,113.0982,-64.5332,104.2427,190819_DP4.png
Torres,08/29/2019,Aqua,1,-49.3829,61.6339,-58.1611,52.8557,190829_YT8.png
Torres,08/29/2019,Aqua,2,-55.1944,166.6794,-63.9746,157.8993,190829_YT9.png
Torres,08/29/2019,Aqua,2,-45.4845,-123.4255,-54.2765,-132.2175,190829_YT10.png
Torres,08/30/2019,Terra,2,-41.441,-155.6761,-50.2213,-164.4564,190830_YT7.png
Kapur,09/01/19,Terra,0,82.2484,-0.8784,73.4587,-9.668,190901_AK1.png
Roden,09/01/19,Terra,2,70.24288221,5.732601079,61.44740759,-3.062873532,190901_GR1.png
Roden,09/01/19,Terra,1,-43.50259604,-141.0452938,-52.2863262,-149.829024,190901_GR2.png
Roden,09/04/19,Terra,2,69.17892004,-56.20742717,60.38616248,-65.00018474,190904_GR1.png
Kapur,09/10/19,Terra,2,64.5696,-31.736,55.788,-40.5176,190910_AK2.png
Kapur,09/10/19,Terra,2,52.6892,-145.3484,43.8762,-154.1614,190910_AK3.png
Kapur,09/11/19,Terra,1,55.1457,-136.3737,45.5358,-145.1867,190911_AK4.png
Kapur,09/12/19,Terra,1,54.6902,-136.8361,45.8749,-145.6196,190912_AK5.png
Roden,09/12/19,Terra,1,55.69653487,223.7702158,46.92045089,214.9635532,190912_GR1.png
Roden,09/14/19,Terra,0,56.66363861,-33.31162221,47.89786567,-42.11059883,190914_GR1.png
Kapur,09/16/19,Terra,2,60.0821,-141.2067,51.2985,-149.9903,190916_AK6.png
Kapur,09/16/19,Terra,0,54.3772,-135.5437,45.5908,-144.3301,190916_AK7.png
Roden,09/16/19,Terra,0,-41.78912109,72.1611265,-50.59769835,63.35254924,190916_GR1.png
Kapur,09/17/19,Terra,0,59.9583,-138.1457,51.1719,-146.9321,190917_AK10.png
Roden,09/17/19,Terra,0,54.11376772,-22.05281586,45.33233591,-30.83424767,190917_GR1.png
Roden,09/18/19,Terra,0,51.84611438,-179.7783499,43.06863502,-188.5558292,190918_GR1.png
Kinloch,09/19/19,Aqua,1,-41.90928128,-50.71477907,-50.70014049,-59.50563828,190919_SK1.png
Kinloch,09/20/19,Terra,2,-48.8858,-36.5286,-57.6789,-45.3216,190920_SK1.png
Kinloch,09/21/19,Aqua,0,-64.44020943,-154.0231326,-73.22678891,-162.8097121,190921_SK1.png
Kinloch,09/21/19,Aqua,0,-40.86639707,-151.8078987,-49.65705196,-160.5985536,190921_SK4.png
Kinloch,09/21/19,Aqua,0,53.61685214,-135.5611311,44.82619726,-144.351786,190921_SK5.png
Kaul,09/23,Terra,0,62.4275,-169.7456,53.6324,-178.5407,190923_EK1.png
Kinloch,09/24/19,Aqua,1,-56.38539284,-86.00775926,-65.17332004,-94.79568646,190924_SK1.png
Kaul,09/24/19,Terra,0,-51.6452,-129.6185,-60.3897,-138.363,190924_EK1.png
Kaul,09/24/19,Terra,0,-40.1312,9.8075,-48.8994,1.0392,190924_EK2.png
Kaul,09/24/19,Terra,0,-41.0685,-16.8432,-49.8272,-25.6019,190924_EK3.png
Kinloch,09/25/19,Aqua,2,-61.4527475,-96.54277953,-70.2480078,-105.3380398,190925_SK1.png
Kaul,09/25/19,Terra,0,-41.7381,136.0736,-50.4493,127.3651,190925_EK1.png
Kaul,09/27/19,Terra,1,-43.5248,-80.7068,-52.2767,-89.4587,190928_EK1.png
Kaul,09/30/19,Terra,1,55.3362,-14.4638,46.5373,-23.1887,190930_EK1.png
Kaul,09/30/19,Terra,1,54.4322,-41.8945,45.6541,-50.6726,190930_EK2.png
Kaul,09/30/19,Terra,1,-40.0429,-133.6989,-48.8456,-142.5016,190930_EK4.png
Louie,01/04/2020,Terra,2,-40.0399,-157.0472,-48.8104,-165.8177,200105_AL8.png
Louie,01/11/2020,Aqua,2,-52.1731,124.0872,-60.9637,115.2965,200111_AL1.png
Louie,01/11/2020,Aqua,0,-55.5088,171.2748,-64.2969,162.4867,200111_AL2.png
Louie,01/12/2020,Aqua,1,-40.5607,-133.5744,-49.3239,-142.3376,200112_AL3.png
Louie,01/12/20,Aqua,1,-52.3455,123.9506,-61.1292,115.1669,200112_AL4.png
Louie,01/12/20,Terra,0,-41.4724,-133.5788,-50.2581,-142.3644,200112_AL5.png
Louie,01/13/2020,Terra,0,61.0904,-14.6427,52.2985,-23.4345,200113_AL6.png
Siddique,01/14/20,Terra,0,-48.8663,66.9379,-57.6576,38.1466,200114_ZS1.png
Siddique,01/17/20,Aqua,1,-59.1914,-141.8044,-67.9673,-150.5803,200117_ZS6.png
Siddique,01/17/20,Aqua,2,53.0388,-24.1209,44.2495,-32.9102,200117_ZS7.png
Siddique,01/17/20,Terra,1,49.3222,-135.6123,40.5286,-144.4059,200117_ZS8.png
Mazzone,1/18/2020,Terra,2,49.3277,-135.2896,40.5295,-144.0703,200118_AM1.png
Mazzone,1/18/2020,Aqua,2,-57.4159,-140.9202,-66.2753,-149.7795,200118_AM2.png
Mazzone,1/18/2020,Aqua,2,-61.155,-38.0866,-70.0144,29.2272,200118_AM2.png
Mazzone,1/18/2020,Terra,1,-63.4606,-19.2982,-72.32,-28.1575,200118_AM5.png
Mazzone,1/18/2020,Aqua,0,-49.6521,-110.6799,-58.4412,-119.469,200118_AM8.png
Mazzone,1/18/2020,Aqua,2,-51.7949,84.8988,-60.5867,76.1071,200118_AM11.png
Willette,01/19/2020,Aqua,2,-52.4669,-112.6411,-61.2519,-121.4261,200119_CW1.png
Willette,01/20/2020,Terra,2,-52.2539,-114.5714,-61.0524,-123.37,200120_CW2.png
Willette,01/20/2020,Terra,0,-53.6516,136.3312,-62.4602,127.5226,200120_CW3.png
Willette,01/20/2020,Terra,0,-45.7648,147.598,-54.5734,138.7894,200120_CW4.png
Siddique,01/25/20,Terra,2,-51.9563,-124.0189,-60.7458,-132.8084,200125_ZS9.png
Siddique,01/25/20,Aqua,1,-52.458,18.373,-61.2684,9.5599,200125_ZS10.png
Pak,02/08/2020,Terra,2,55.829,-128.4021,47.0348,-137.1809,200208_EP1.png
Pak,02/08/2020,Aqua,2,-46.9497,-85.8096,-55.7796,-94.6395,200208_EP2.png
Pak,02/09/2020,Aqua,1,-44.0699,-95.4359,-52.8711,-104.2464,200209_EP1.png
Cheung,02/15/20,Aqua,2,-49.291,104.7093,-58.0923,95.905,200215_KC1.png
Cheung,02/15/20,Aqua,2,64.2374,-14.2969,55.43,-23.1043,200215_KC2.png
Cheung,02/15/20,Aqua,1,-56.3741,-155.4598,-65.1478,-164.2689,200215_KC3.png
Cheung,02/15/20,Terra,0,-40.8022,110.4642,-49.6013,101.6651,200215_KC6.png
Cheung,02/16/20,Terra,2,56.1788,-173.3203,47.3912,-177.8754,200216_KC1.png
Cheung,02/16/20,Terra,1,-55.4757,68.9226,-64.2801,60.1182,200216_KC2.png
Cheung,02/16/20,Terra,0,-40.5363,125.8478,-49.2874,117.0966,200216_KC3.png
Chen,02/19/2020,Terra,2,-59.4576,140.3052,-68.2708,131.461,200219_DC2.png
Chen,02/19/2020,Terra,1,-60.8648,-101.1183,-69.644,-109.9516,200219_DC3.png
Chen,02/19/2020,Aqua,0,-48.3466,-171.6849,-57.1585,179.5032,200219_DC4.png
Chen,02/19/2020,Aqua,2,60.3868,-141.5468,51.3096,-150.5119,200219_DC6.png
Chen,02/21/2020,Aqua,2,-47.208,-96.1159,-56.009,-104.9169,200221_DC7.png
Chen,02/21/2020,Aqua,0,-51.3377,22.0548,-60.1387,13.2538,200221_DC8.png
Chen,02/21/2020,Aqua,0,-46.4294,77.9075,-55.2305,69.1065,200221_DC9.png
Furman,2/22/2020,Terra,1,61.7015,176.7578,52.9017,167.9336,200222_EF2.png
Furman,2/23/2020,Terra,1,-49.7133,178.9563,-58.5485,170.1212,200223_EF2.png
